areaCode,areaName,areaType,date,hospitalCases,newAdmissions,newCasesByPublishDate
K02000001,United Kingdom,overview,2022-09-15,5729,,
K02000001,United Kingdom,overview,2022-09-14,5705,,
K02000001,United Kingdom,overview,2022-09-13,5792,,
K02000001,United Kingdom,overview,2022-09-12,5849,,
K02000001,United Kingdom,overview,2022-09-11,5911,544,
K02000001,United Kingdom,overview,2022-09-10,5878,453,
K02000001,United Kingdom,overview,2022-09-09,6046,490,
K02000001,United Kingdom,overview,2022-09-08,6169,589,
K02000001,United Kingdom,overview,2022-09-07,6230,610,
K02000001,United Kingdom,overview,2022-09-06,6415,635,
K02000001,United Kingdom,overview,2022-09-05,6526,618,
K02000001,United Kingdom,overview,2022-09-04,6534,538,
K02000001,United Kingdom,overview,2022-09-03,6495,502,
K02000001,United Kingdom,overview,2022-09-02,6674,548,
K02000001,United Kingdom,overview,2022-09-01,6925,614,
K02000001,United Kingdom,overview,2022-08-31,7019,650,
K02000001,United Kingdom,overview,2022-08-30,7124,676,
K02000001,United Kingdom,overview,2022-08-29,7133,676,
K02000001,United Kingdom,overview,2022-08-28,7076,603,
K02000001,United Kingdom,overview,2022-08-27,7153,530,
K02000001,United Kingdom,overview,2022-08-26,7212,583,
K02000001,United Kingdom,overview,2022-08-25,7717,746,
K02000001,United Kingdom,overview,2022-08-24,7805,732,
K02000001,United Kingdom,overview,2022-08-23,7995,798,
K02000001,United Kingdom,overview,2022-08-22,8467,753,
K02000001,United Kingdom,overview,2022-08-21,8374,677,
K02000001,United Kingdom,overview,2022-08-20,8450,649,
K02000001,United Kingdom,overview,2022-08-19,8771,741,
K02000001,United Kingdom,overview,2022-08-18,9183,774,
K02000001,United Kingdom,overview,2022-08-17,9323,869,
K02000001,United Kingdom,overview,2022-08-16,9718,911,
K02000001,United Kingdom,overview,2022-08-15,10007,987,
K02000001,United Kingdom,overview,2022-08-14,10028,844,
K02000001,United Kingdom,overview,2022-08-13,9876,844,
K02000001,United Kingdom,overview,2022-08-12,9944,875,
K02000001,United Kingdom,overview,2022-08-11,10227,1017,
K02000001,United Kingdom,overview,2022-08-10,10417,1131,
K02000001,United Kingdom,overview,2022-08-09,10571,1094,
K02000001,United Kingdom,overview,2022-08-08,10907,1091,
K02000001,United Kingdom,overview,2022-08-07,10824,990,
K02000001,United Kingdom,overview,2022-08-06,10881,853,
K02000001,United Kingdom,overview,2022-08-05,11289,1031,
K02000001,United Kingdom,overview,2022-08-04,11729,1135,
K02000001,United Kingdom,overview,2022-08-03,12121,1195,
K02000001,United Kingdom,overview,2022-08-02,12533,1207,
K02000001,United Kingdom,overview,2022-08-01,12847,1264,
K02000001,United Kingdom,overview,2022-07-31,12892,1248,
K02000001,United Kingdom,overview,2022-07-30,13020,1048,
K02000001,United Kingdom,overview,2022-07-29,13719,1151,
K02000001,United Kingdom,overview,2022-07-28,14081,1332,
K02000001,United Kingdom,overview,2022-07-27,14638,1373,
K02000001,United Kingdom,overview,2022-07-26,14942,1473,
K02000001,United Kingdom,overview,2022-07-25,15384,1523,
K02000001,United Kingdom,overview,2022-07-24,15456,1448,
K02000001,United Kingdom,overview,2022-07-23,15377,1315,
K02000001,United Kingdom,overview,2022-07-22,16215,1428,
K02000001,United Kingdom,overview,2022-07-21,16485,1753,
K02000001,United Kingdom,overview,2022-07-20,16710,1951,
K02000001,United Kingdom,overview,2022-07-19,17015,2058,
K02000001,United Kingdom,overview,2022-07-18,17213,1992,
K02000001,United Kingdom,overview,2022-07-17,17090,1868,
K02000001,United Kingdom,overview,2022-07-16,16987,1550,
K02000001,United Kingdom,overview,2022-07-15,17314,1708,
K02000001,United Kingdom,overview,2022-07-14,17193,2073,
K02000001,United Kingdom,overview,2022-07-13,17101,2186,
K02000001,United Kingdom,overview,2022-07-12,16975,2220,
K02000001,United Kingdom,overview,2022-07-11,16584,2274,
K02000001,United Kingdom,overview,2022-07-10,16121,2078,
K02000001,United Kingdom,overview,2022-07-09,15622,1815,
K02000001,United Kingdom,overview,2022-07-08,15440,1941,
K02000001,United Kingdom,overview,2022-07-07,15022,2247,
K02000001,United Kingdom,overview,2022-07-06,14641,2213,
K02000001,United Kingdom,overview,2022-07-05,14156,2210,
K02000001,United Kingdom,overview,2022-07-04,13672,2189,
K02000001,United Kingdom,overview,2022-07-03,12878,1990,
K02000001,United Kingdom,overview,2022-07-02,12467,1607,
K02000001,United Kingdom,overview,2022-07-01,12149,1573,
K02000001,United Kingdom,overview,2022-06-30,11599,1876,
K02000001,United Kingdom,overview,2022-06-29,11200,1852,
K02000001,United Kingdom,overview,2022-06-28,10636,1748,
K02000001,United Kingdom,overview,2022-06-27,10289,1694,
K02000001,United Kingdom,overview,2022-06-26,9819,1483,
K02000001,United Kingdom,overview,2022-06-25,9239,1242,
K02000001,United Kingdom,overview,2022-06-24,8937,1357,
